2.06E+03,	1.97E-01
2.10E+03,	2.11E-01
2.14E+03,	1.99E-01
2.18E+03,	2.02E-01
2.22E+03,	2.12E-01
2.26E+03,	2.14E-01
2.30E+03,	1.98E-01
2.34E+03,	1.85E-01
2.38E+03,	2.09E-01
2.42E+03,	2.20E-01
2.46E+03,	2.11E-01
2.50E+03,	2.14E-01
2.53E+03,	2.04E-01
2.57E+03,	2.11E-01
2.61E+03,	2.02E-01
2.65E+03,	2.07E-01
2.69E+03,	2.12E-01
2.74E+03,	1.94E-01
2.78E+03,	2.05E-01
2.82E+03,	2.00E-01
2.86E+03,	1.99E-01
2.89E+03,	1.94E-01
2.93E+03,	1.98E-01
2.97E+03,	1.83E-01
3.01E+03,	2.06E-01
3.05E+03,	2.05E-01
3.08E+03,	2.01E-01
3.12E+03,	1.94E-01
3.16E+03,	1.93E-01
3.20E+03,	1.83E-01
3.23E+03,	2.03E-01
3.27E+03,	1.77E-01
3.30E+03,	1.99E-01
3.34E+03,	1.97E-01
3.38E+03,	1.87E-01
3.42E+03,	1.98E-01
3.45E+03,	2.02E-01
3.49E+03,	1.90E-01
3.54E+03,	1.98E-01
3.57E+03,	2.04E-01
3.62E+03,	2.06E-01
3.65E+03,	2.01E-01
3.69E+03,	1.88E-01
3.73E+03, 2.11E-01
3.77E+03,	2.08E-01
3.81E+03,	2.02E-01
3.85E+03,	2.02E-01
3.89E+03,	2.04E-01
3.93E+03,	2.05E-01
3.97E+03,	2.14E-01
4.01E+03,	1.96E-01
4.05E+03,	2.09E-01
4.08E+03,	2.07E-01
4.12E+03,	2.11E-01
4.16E+03,	2.08E-01
4.20E+03,	2.17E-01
4.24E+03,	1.99E-01
4.28E+03,	1.99E-01
4.31E+03,	2.06E-01
4.36E+03,	1.97E-01
4.40E+03,	2.01E-01
4.44E+03,	1.94E-01
4.48E+03,	2.04E-01
4.52E+03,	2.13E-01
4.56E+03,	2.20E-01
4.60E+03,	2.10E-01
4.64E+03,	2.18E-01
4.68E+03,	2.25E-01
4.72E+03,	2.06E-01
4.76E+03,	2.05E-01
4.80E+03,	2.21E-01
4.84E+03,	2.13E-01
4.88E+03,	2.15E-01
4.92E+03,	2.20E-01
4.96E+03,	2.29E-01
5.00E+03,	2.19E-01
5.04E+03,	2.19E-01
5.08E+03,	2.12E-01
5.12E+03,	2.15E-01
5.16E+03,	2.00E-01
5.20E+03,	2.11E-01
5.24E+03,	2.28E-01
5.28E+03,	2.14E-01
5.32E+03,	2.11E-01
5.36E+03,	2.15E-01
5.40E+03,	2.20E-01
5.44E+03,	2.17E-01
5.49E+03,	2.04E-01
5.53E+03,	2.09E-01
5.56E+03,	2.16E-01
5.60E+03,	2.14E-01
5.65E+03,	2.14E-01
5.69E+03,	2.11E-01
5.73E+03,	2.03E-01
5.77E+03,	2.11E-01
5.81E+03,	2.14E-01
5.85E+03,	2.14E-01
5.89E+03,	2.33E-01
5.93E+03,	1.99E-01
5.97E+03,	2.20E-01
6.01E+03,	2.11E-01
6.05E+03,	2.18E-01
6.09E+03,	2.03E-01
6.13E+03,	2.05E-01
6.17E+03,	2.10E-01
6.21E+03,	2.08E-01
6.25E+03,	2.17E-01
6.29E+03,	2.07E-01
6.33E+03,	2.06E-01
6.37E+03,	2.18E-01
6.41E+03,	2.07E-01
6.45E+03,	2.08E-01
6.48E+03,	2.02E-01
6.53E+03,	2.26E-01
6.57E+03,	2.22E-01
6.61E+03,	2.28E-01
6.64E+03,	2.19E-01
6.69E+03,	2.40E-01
6.73E+03,	2.07E-01
6.77E+03,	2.13E-01
6.80E+03,	2.14E-01
6.84E+03,	2.23E-01
6.88E+03,	2.21E-01
6.93E+03,	2.19E-01
6.97E+03,	2.19E-01
7.01E+03,	2.20E-01
7.05E+03,	2.23E-01
7.09E+03,	2.08E-01
7.13E+03,	2.08E-01
7.17E+03,	2.25E-01
7.21E+03,	2.24E-01
7.24E+03,	2.26E-01
7.29E+03,	2.14E-01
7.33E+03,	2.23E-01
7.37E+03,	2.11E-01
7.41E+03,	2.23E-01
7.45E+03,	2.16E-01
7.49E+03,	2.06E-01
7.53E+03,	2.15E-01
7.57E+03,	2.33E-01
7.61E+03,	2.14E-01
7.65E+03,	2.17E-01
7.68E+03,	2.14E-01
7.72E+03,	2.15E-01
